Host                                       |State|Time       |Falls|Availab|rTime |AvailabTotal|zPingsMes|PingTotal|PingsMes|
PJ-MORROS-FORTEL-10M-317150                |UP   | 0d00h10min|    3| 99,57%|  20ms|  99,73%|     3|  2979|   697|
PJ-NUNES-FREIRE-FORTEL-10M-321804          |UP   |34d23h51min|    0|100,00%|  37ms|  99,97%|     0|  2979|   697|
PJ-OLHO-DAGUA-FORTEL-10M-333928            |UP   |15d00h15min|    0|100,00%|  11ms|  99,50%|     0|  2979|   697|
PJ-OLINDA-NOVA-FORTEL-10M-310762           |UP   |34d23h51min|    0|100,00%|  20ms|  99,97%|     0|  2979|   697|
PJ-PACO-LUMIAR-BITAL-100M-QINQ-2707        |UP   |35d22h33min|    0|100,00%|   4ms|  99,83%|     0|  2979|   697|
PJ-PARAIBANO-FORTEL-10M-339170             |UP   |15d00h16min|    0|100,00%|  37ms|  99,70%|     0|  2979|   697|
PJ-PARNARAMA-FORTEL-10M-341624             |UP   |27d00h43min|    0|100,00%|  11ms|  58,33%|     0|  2978|   697|
PJ-PASSAGEM-FRANCA-FORTEL-10M-321240       |UP   | 0d00h31min|    1| 99,86%|  18ms|  99,87%|     1|  2979|   697|
PJ-PASTOS-BONS-FORTEL-10M-327924           |UP   |34d23h51min|    0|100,00%|  18ms|  99,93%|     0|  2979|   697|
PJ-PAULO-RAMOS-FORTEL-10M-331540           |UP   |15d00h53min|    0|100,00%|  48ms|  99,87%|     0|  2979|   697|
PJ-PEDREIRAS-FORTEL-20M-342256             |UP   | 0d00h46min|    1| 39,60%|  18ms|  83,55%|   421|  2978|   697|
PJ-PENALVA-FORTEL-10M-310746               |UP   |34d23h51min|    0|100,00%|  20ms|  99,97%|     0|  2979|   697|
PJ-PINDARE-MIRIM-FORTEL-10M-335954         |UP   |35d23h34min|    0|100,00%|  13ms| 100,00%|     0|  2979|   697|
